item_id	path_type	path	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
TUNABLE_FULL_EXAMINE_ROUND-HZ-001	directory	.	agent_001	1312351	-	0	129	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-002	directory	agents	agent_002	1788	-	1	1	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-003	directory	commands	agent_003	21603	-	1	5	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-004	directory	hooks	agent_004	237258	-	1	11	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-005	directory	prompt-template	agent_005	40994	-	1	52	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-006	directory	scripts	agent_006	201027	-	1	12	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-007	directory	tests	agent_007	803117	-	1	47	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-008	file	README.md	agent_008	6564	46064102f8d21fff	0		behavior-defining documentation for workflow/state-machine algorithms
TUNABLE_FULL_EXAMINE_ROUND-HZ-009	directory	hooks/lib	agent_009	56806	-	2	2	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-010	directory	prompt-template/block	agent_010	13996	-	2	32	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-011	directory	prompt-template/claude	agent_011	6893	-	2	8	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-012	directory	prompt-template/codex	agent_012	10385	-	2	4	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-013	directory	prompt-template/plan	agent_013	2959	-	2	1	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-014	directory	prompt-template/pr-loop	agent_014	6761	-	2	7	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-015	directory	scripts/lib	agent_015	17436	-	2	1	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-016	directory	tests/robustness	agent_016	267311	-	2	17	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-017	file	agents/draft-relevance-checker.md	agent_017	1788	98f5a6a069791828	2		agent prompt/policy file defining review or planning behavior
TUNABLE_FULL_EXAMINE_ROUND-HZ-018	file	commands/cancel-pr-loop.md	agent_018	953	41a045601d93d8d6	2		command workflow definition for plan/RLCR algorithms
TUNABLE_FULL_EXAMINE_ROUND-HZ-019	file	commands/cancel-rlcr-loop.md	agent_019	1914	2a8faafa5889ed98	2		command workflow definition for plan/RLCR algorithms
TUNABLE_FULL_EXAMINE_ROUND-HZ-020	file	commands/gen-plan.md	agent_020	12548	ca2089d3b01c53da	2		command workflow definition for plan/RLCR algorithms
TUNABLE_FULL_EXAMINE_ROUND-HZ-021	file	commands/start-pr-loop.md	agent_021	2349	f1323861df02ee34	2		command workflow definition for plan/RLCR algorithms
TUNABLE_FULL_EXAMINE_ROUND-HZ-022	file	commands/start-rlcr-loop.md	agent_022	3839	fb1fbf520d96b75d	2		command workflow definition for plan/RLCR algorithms
TUNABLE_FULL_EXAMINE_ROUND-HZ-023	file	hooks/check-todos-from-transcript.py	agent_023	4754	9eedcf660e9ac131	2		hook or validator implementation for the RLCR state machine
TUNABLE_FULL_EXAMINE_ROUND-HZ-024	file	hooks/hooks.json	agent_024	1580	5912ec1581ea1300	2		hook or validator implementation for the RLCR state machine
